(1207, 3030, 3710)
(1691, 3134, 3302)
(1959, 3306, 3377)
(1806, 3355, 3403)
(1667, 3516, 3458)
(1811, 3275, 3441)
(1493, 2799, 3888)
(2078, 3693, 3327)
(1488, 2920, 3731)
(1467, 2834, 3568)
(1199, 2711, 3694)
(1227, 2996, 3744)
(1618, 3075, 3790)
(1521, 2665, 3555)
(2022, 3616, 3404)
(1454, 3294, 3543)
(1132, 2571, 3813)
(1302, 3044, 3692)
(1609, 3164, 3881)
(1907, 3464, 3485)
(1188, 3060, 3497)
(1720, 3261, 3610)
(1698, 3230, 3472)
(1887, 3528, 3398)
(1752, 3514, 3486)
(1642, 3252, 3533)
(930, 3080, 3690)
(854, 2625, 3969)
(1277, 2859, 3794)
(1322, 2891, 3600)
(1452, 2980, 3677)
(1937, 3537, 3650)
(1256, 2787, 3825)
(1407, 3377, 3610)
(1774, 3292, 3424)
(717, 2644, 3781)
(556, 2465, 4022)
(1404, 3039, 3899)
(1488, 3132, 3819)
(728, 2207, 3862)
(1367, 2992, 3604)
(1282, 2998, 3587)
(1399, 3141, 3843)
(1331, 2958, 3745)
(1741, 3081, 3662)
(1828, 3308, 3724)
(1660, 3162, 3739)
(1800, 2973, 3886)
(1714, 3333, 3649)
(1019, 2540, 3758)
(1620, 3376, 3711)
(1499, 2826, 3828)
(1306, 2946, 3723)
(1203, 2976, 3702)
(1708, 3296, 3549)
(1548, 2723, 3751)
(1933, 3498, 3529)
(1858, 3354, 3561)
(1103, 2960, 3723)
(1269, 3098, 3638)
(1406, 3223, 3607)
(1743, 3474, 3629)
(1723, 3488, 3564)
(1524, 3116, 3693)
(1234, 2882, 3717)
(1555, 3103, 3429)
(1468, 2982, 3728)
(1270, 2926, 3770)
(1736, 3437, 3691)
(1636, 3150, 3745)
(1199, 2802, 3692)
(1520, 2950, 3631)
(1262, 3020, 3352)
(816, 2580, 4011)
(600, 2746, 3952)
(648, 2720, 3952)
(601, 2787, 3993)
(596, 2695, 4030)
(358, 2715, 4017)
(539, 2672, 4022)
(537, 2648, 3915)
(593, 2759, 3959)
(474, 2737, 3875)
(542, 2764, 3943)
(559, 2542, 3993)
(421, 2912, 3793)
(653, 2571, 3997)
(418, 2716, 4000)
(573, 2854, 3845)
(356, 2780, 3978)
(574, 2745, 3973)
(769, 2789, 4019)
(810, 2855, 3921)
(745, 2897, 3745)
(800, 2918, 3655)
(831, 2854, 3607)
(2886, 3942, 3299)
(785, 3504, 3854)
(832, 2948, 3356)
(875, 2924, 3861)
(775, 3199, 3673)
(639, 3009, 3942)
(680, 2980, 3179)
(781, 2989, 3821)
(550, 2895, 3825)
(484, 2876, 3547)
(789, 2941, 3582)
(693, 2916, 3777)
(430, 2839, 3058)
(627, 2786, 3670)
(894, 3217, 3568)
(737, 2860, 3922)
(2808, 3372, 3764)
(494, 3098, 3058)
(815, 2007, 2899)
(608, 2886, 2948)
(711, 3058, 3545)
(721, 3074, 3513)
(584, 3027, 3459)
(680, 2971, 3372)
(1842, 3605, 3164)
(1650, 2810, 3881)
(690, 815, 3752)
(627, 690, 3607)
(1160, 3020, 2525)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2710, 831, 3752)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(470, 517, 3719)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(752, 3147, 3943)
(721, 3138, 3943)
(752, 3147, 3943)
(721, 3138, 3943)
(721, 3138, 3943)
(2755, 3494, 3846)
(674, 800, 3741)
(721, 831, 3752)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2760, 3836, 3043)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2755, 3494, 3846)
(2948, 3074, 3858)
(3043, 3795, 3858)
(2755, 3494, 3846)
(2760, 3777, 3231)
(2755, 3494, 3846)
(2752, 2321, 3827)
(2758, 3639, 3937)
(1819, 1866, 3907)
(1788, 3262, 3058)
(2258, 2917, 3137)
(2759, 3011, 3952)
(3231, 3419, 3356)
(2751, 2290, 3544)
(2755, 3494, 3846)
(2101, 3278, 3137)
(3158, 3811, 3607)
(2167, 3326, 3592)
(2443, 3349, 3375)
(2627, 3701, 3639)
(1223, 3994, 3334)
(1076, 2948, 3720)
(1377, 3503, 3520)
(1734, 3734, 3286)
(1894, 3508, 3641)
(809, 2721, 3810)
(1113, 2714, 3908)
(2321, 3451, 3961)
(1705, 3541, 3491)
(2556, 3509, 3670)
(1537, 2857, 3978)
(1986, 3878, 3385)
(1052, 2738, 3715)
(1604, 3665, 3390)
(1350, 2737, 3839)
(812, 2362, 3744)
(1625, 3443, 3322)
(1634, 3026, 3747)
(1702, 3061, 3636)
(2112, 3581, 3331)
(1629, 2618, 3352)
(1720, 2768, 3575)
(1939, 3048, 3557)
(1972, 3321, 3633)
(1584, 2955, 3714)
(1992, 3142, 3636)
(2011, 3185, 3513)
(1671, 3459, 3527)
(1818, 3159, 3592)
(1817, 3375, 3540)
(1615, 3188, 3695)
(1957, 3730, 3387)
(1386, 2767, 3722)
(1588, 3098, 3667)
(1855, 3473, 3524)
(1387, 2946, 3890)
(1831, 3384, 3518)
(1282, 2670, 3712)
(1940, 2964, 3571)
(1745, 3298, 3551)
(1497, 2899, 3872)
(1521, 3168, 3653)
(1537, 3537, 3614)
(1330, 3127, 3487)
(1141, 2848, 3741)
(1501, 2785, 3850)
(1979, 3431, 3713)
(1719, 3248, 3559)
(1624, 3043, 3387)
(1641, 3143, 3569)
(1260, 2771, 3916)
(1111, 3235, 3605)
(1692, 3487, 3724)
(1397, 3333, 3748)
(1627, 3230, 3448)
(1639, 3277, 3635)
(1633, 3231, 3678)
(1236, 3401, 3500)
(1457, 3147, 3547)
(1377, 2999, 3501)
(1423, 3221, 3656)
(1716, 3367, 3640)
(1438, 3313, 3642)
(1639, 3195, 3412)
(1517, 3258, 3451)
(1375, 3253, 3503)
(1591, 3327, 3324)
(1647, 3243, 3551)
(1470, 3018, 3884)
(1342, 3078, 3784)
(1329, 2750, 3833)
(1234, 2866, 3893)
(1111, 2911, 3711)
(1319, 2710, 3692)
(1627, 3147, 3651)
(1662, 3371, 3626)
(1526, 3177, 3508)
(1562, 3207, 3689)
(1412, 3361, 3453)
(1663, 3275, 3667)
(1733, 3380, 3465)
(1434, 3195, 3616)
(1689, 3122, 3440)
(1707, 3397, 3343)
(1752, 3620, 3328)
(1956, 3626, 3422)
(1412, 2740, 3828)
(1511, 3259, 3761)
(1485, 3321, 3394)
(1548, 3325, 3588)
(1535, 3016, 3535)
(1547, 3288, 3458)
(1738, 3364, 3479)
(1525, 3266, 3581)
(1697, 3450, 3258)
(1918, 3176, 3642)
(1751, 3364, 3594)
(1713, 3243, 3420)
(1478, 3108, 3601)
(1566, 3334, 3611)
(1759, 3283, 3591)
(1278, 3020, 3567)
(1562, 2933, 3557)
(1599, 3225, 3629)
(1535, 3252, 3586)
